Unit,Region,Station,Addr,Lat,Lon
內政部,臺中市,臺中市西屯區戶政事務所,407臺中市西屯區市政北二路386號,24.165784,120.633595
內政部,臺中市,臺中市中區戶政事務所,400臺中市中區興中街80號,24.144106,120.679567
內政部,臺中市,臺中市東區戶政事務所,401臺中市東區和平街61號,24.133854,120.684861
內政部,臺中市,臺中市西區戶政事務所,403臺中市西區三民路一段161號3樓,24.136402,120.673022
內政部,臺中市,臺中市南區戶政事務所,402臺中市南區工學路72號一樓,24.117147,120.663628
內政部,臺中市,臺中市北區戶政事務所,404臺中市北區永興街299號,24.165873,120.682272
內政部,臺中市,臺中市西屯區戶政事務所,407臺中市西屯區市政北二路386號,24.165678,120.633634
內政部,臺中市,臺中市南屯區戶政事務所,408臺中市南屯區永春東路679號,24.138241,120.642744
內政部,臺中市,臺中市北屯區戶政事務所,406臺中市北屯區崇德路三段10號1樓,24.182619,120.686523
內政部,臺中市,臺中市豐原區戶政事務所,420臺中市豐原區市政路2號,24.241926,120.717958
內政部,臺中市,臺中市大里區戶政事務所,412臺中市大里區新興路7號,24.098141,120.676807
內政部,臺中市,臺中市太平區戶政事務所,411臺中市太平區大源路2之18號,24.146811,120.725472
內政部,臺中市,臺中市東勢區戶政事務所,423臺中市東勢區豐勢路516號,24.258499,120.827947
內政部,臺中市,臺中市大甲區戶政事務所,437臺中市大甲區民權路52號6樓,24.34914,120.622477
內政部,臺中市,臺中市清水區戶政事務所,436臺中市清水區鰲峰路239號,24.26638,120.562884
內政部,臺中市,臺中市沙鹿區戶政事務所,433臺中市沙鹿區鎮政路16號,24.23481,120.566387
內政部,臺中市,臺中市梧棲區戶政事務所,435臺中市梧棲區中興路212號,24.254959,120.533882
內政部,臺中市,臺中市后里區戶政事務所,421臺中市后里區墩西里公安路90號,24.305422,120.709996
內政部,臺中市,臺中市神岡區戶政事務所,429臺中市神岡區神岡路121之1號,24.256543,120.658729
內政部,臺中市,臺中市潭子區戶政事務所,427臺中市潭子區中山路二段237巷3號,24.209473,120.70433
內政部,臺中市,臺中市大雅區戶政事務所,428臺中市大雅區雅環路2段299號2樓,24.229192,120.648406
內政部,臺中市,臺中市新社區戶政事務所,426臺中市新社區興社街二段28-2號,24.233573,120.809058
